subid,agecat,Identification_1,Identification_2,Identification_3,Identification_4,attentioncheck,gender,nationality,religiosity,political,district,israelpk,palestpk,alternative,order,altblame,totisrael1,totisrael2,totpalest1,totpalest2,shiftisrael,shiftpalest,halevy,paltblame,ptotisrael1,ptotisrael2,ptotpalest1,ptotpalest2,phalevy
1,4,7,6,5,6,5,2,3,3,3,5,0,1,1,1,15,80,65,20,20,-15,0,20,0.15,0.8,0.65,0.2,0.2,0.2
2,2,7,7,7,7,5,2,3,1,4,1,0,0,1,0,0,20,30,80,70,-10,10,70,0,0.2,0.3,0.8,0.7,0.7
3,3,6,6,6,5,5,1,3,4,2,1,1,1,0,1,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
4,4,5,3,3,3,5,1,3,4,4,5,0,0,1,0,0,100,100,0,0,0,0,0,0,1,1,0,0,0
5,3,5,3,3,7,5,1,1,2,1,3,0,1,1,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
6,4,4,4,4,3,5,1,1,2,3,1,0,1,0,1,0,30,30,70,70,0,0,70,0,0.3,0.3,0.7,0.7,0.7
7,5,7,7,7,7,5,2,3,3,5,4,1,0,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
8,4,4,4,4,2,5,2,3,4,5,2,1,0,0,0,0,55,55,45,45,0,0,45,0,0.55,0.55,0.45,0.45,0.45
9,5,6,6,5,5,5,1,2,3,4,2,0,0,0,0,0,60,50,40,50,10,-10,50,0,0.6,0.5,0.4,0.5,0.5
10,5,7,7,7,7,5,1,1,3,2,6,1,1,1,1,9,1,1,99,90,0,-9,99,0.09,0.01,0.01,0.99,0.9,0.99
11,5,7,7,7,7,5,1,2,4,5,4,0,1,0,0,0,70,70,30,30,0,0,30,0,0.7,0.7,0.3,0.3,0.3
12,6,6,6,6,6,5,1,1,3,4,4,1,1,0,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
13,4,4,3,4,4,5,2,1,4,2,4,1,0,1,0,0,10,10,90,90,0,0,90,0,0.1,0.1,0.9,0.9,0.9
14,3,7,7,7,7,5,2,3,4,4,1,0,0,1,0,0,100,10,0,90,90,-90,90,0,1,0.1,0,0.9,0.9
15,3,6,7,3,4,5,1,1,3,4,1,0,0,0,1,10,60,40,40,50,-20,10,40,0.1,0.6,0.4,0.4,0.5,0.4
16,2,4,6,6,5,5,1,3,2,2,6,0,1,1,1,10,50,50,50,40,0,-10,50,0.1,0.5,0.5,0.5,0.4,0.5
17,4,6,6,6,4,5,1,1,3,3,6,0,0,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
18,4,6,6,6,6,5,2,1,4,4,6,1,1,1,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
19,3,4,4,4,5,5,2,1,4,3,6,1,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
20,5,5,5,4,6,5,1,1,4,5,1,1,1,0,0,0,25,25,75,75,0,0,75,0,0.25,0.25,0.75,0.75,0.75
21,3,4,4,4,4,5,1,3,2,1,5,0,1,0,0,0,20,20,80,80,0,0,80,0,0.2,0.2,0.8,0.8,0.8
22,3,6,5,5,5,5,2,3,4,3,1,0,1,1,0,0,50,50,50,50,0,0,50,0,0.5,0.5,0.5,0.5,0.5
23,5,7,7,7,7,5,1,1,4,4,1,1,0,0,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
24,3,7,7,4,7,5,1,3,4,4,6,1,1,0,1,0,40,40,60,60,0,0,60,0,0.4,0.4,0.6,0.6,0.6
25,4,7,7,7,7,5,1,3,2,4,3,0,1,1,1,25,50,30,50,45,-20,-5,50,0.25,0.5,0.3,0.5,0.45,0.5
26,3,2,2,2,4,5,1,3,4,5,1,1,0,0,0,0,25,20,75,80,5,-5,80,0,0.25,0.2,0.75,0.8,0.8
27,2,4,4,6,3,5,1,1,2,3,1,1,0,1,0,15,0,3,85,97,-3,-12,97,0.15,0,0.03,0.85,0.97,0.97
28,4,5,4,5,3,5,2,1,4,7,5,1,1,1,1,30,50,35,50,35,-15,-15,50,0.3,0.5,0.35,0.5,0.35,0.5
29,2,7,7,7,7,5,1,1,3,2,1,0,1,1,0,0,0,0,100,100,0,0,100,0,0,0,1,1,1
30,2,7,6,7,7,5,1,3,3,2,1,1,0,1,1,0,100,0,0,100,-100,100,0,0,1,0,0,1,0
31,3,3,7,3,6,5,1,3,4,4,4,0,1,1,1,10,90,30,10,60,-60,50,10,0.1,0.9,0.3,0.1,0.6,0.1
32,2,7,7,7,7,5,1,3,4,1,4,1,0,0,1,0,0,0,100,100,0,0,100,0,0,0,1,1,1
