poliorient,demo,indep,nopref,repub,gun01
Democrat,1,0,0,0,0.61
Independent,0,1,0,0,0.51
NoPreference,0,0,1,0,0.25
Republican,0,0,0,1,0.66
NoPreference,0,0,1,0,0
Democrat,1,0,0,0,0.95
Democrat,1,0,0,0,0
Republican,0,0,0,1,0.83
Democrat,1,0,0,0,0
Republican,0,0,0,1,0.9
Independent,0,1,0,0,0.83
Democrat,1,0,0,0,0.36
NoPreference,0,0,1,0,0
Independent,0,1,0,0,0.35
Democrat,1,0,0,0,0.07
Democrat,1,0,0,0,0.31
Independent,0,1,0,0,0.9
Republican,0,0,0,1,0.58
Democrat,1,0,0,0,0.09
Republican,0,0,0,1,0.25
NoPreference,0,0,1,0,0.44
Republican,0,0,0,1,0.8
Democrat,1,0,0,0,0.09
Independent,0,1,0,0,1
NoPreference,0,0,1,0,0.14
Democrat,1,0,0,0,0.61
Independent,0,1,0,0,0.93
Democrat,1,0,0,0,0.56
NoPreference,0,0,1,0,0
Republican,0,0,0,1,0.1
Democrat,1,0,0,0,1
Independent,0,1,0,0,0.79
Independent,0,1,0,0,0.51
Independent,0,1,0,0,0.28
Independent,0,1,0,0,0
Independent,0,1,0,0,0.51
Democrat,1,0,0,0,0.19
Republican,0,0,0,1,1
NoPreference,0,0,1,0,1
Independent,0,1,0,0,1
Independent,0,1,0,0,0.5
Democrat,1,0,0,0,0.37
NoPreference,0,0,1,0,0.82
Republican,0,0,0,1,0.98
NoPreference,0,0,1,0,0.36
Democrat,1,0,0,0,0.7
NoPreference,0,0,1,0,0.71
Democrat,1,0,0,0,0
Republican,0,0,0,1,0
Independent,0,1,0,0,0.26
Republican,0,0,0,1,0.72
Republican,0,0,0,1,0.1
Democrat,1,0,0,0,0.22
Independent,0,1,0,0,0.58
Republican,0,0,0,1,0.9
Democrat,1,0,0,0,0.6
NoPreference,0,0,1,0,0.01
Independent,0,1,0,0,0.61
Democrat,1,0,0,0,0.23
Democrat,1,0,0,0,0.43
Republican,0,0,0,1,1
NoPreference,0,0,1,0,0
Independent,0,1,0,0,0.74
Independent,0,1,0,0,0.97
Independent,0,1,0,0,0.99
Democrat,1,0,0,0,0.69
Independent,0,1,0,0,0.51
Democrat,1,0,0,0,0.05
Independent,0,1,0,0,0.2
Independent,0,1,0,0,0.79
NoPreference,0,0,1,0,0.24
NoPreference,0,0,1,0,0.61
Democrat,1,0,0,0,0
Independent,0,1,0,0,0.81
NoPreference,0,0,1,0,0
Independent,0,1,0,0,0.95
Democrat,1,0,0,0,0.4
Republican,0,0,0,1,0.81
Independent,0,1,0,0,0.51
Independent,0,1,0,0,0.6
Republican,0,0,0,1,0.8
Democrat,1,0,0,0,0.29
Democrat,1,0,0,0,0.77
Republican,0,0,0,1,1
Democrat,1,0,0,0,0.37
Independent,0,1,0,0,0.15
Republican,0,0,0,1,0.27
Independent,0,1,0,0,0.4
Republican,0,0,0,1,0.88
Independent,0,1,0,0,0.95
Independent,0,1,0,0,0.79
Independent,0,1,0,0,0.09
Independent,0,1,0,0,0.95
Democrat,1,0,0,0,0.32
Republican,0,0,0,1,0.3
NoPreference,0,0,1,0,0.76
Independent,0,1,0,0,0.21
Republican,0,0,0,1,0.84
Independent,0,1,0,0,0.93
Independent,0,1,0,0,0.89
Independent,0,1,0,0,0.45
Democrat,1,0,0,0,0.44
Republican,0,0,0,1,0.76
Independent,0,1,0,0,0.12
Independent,0,1,0,0,0.52
Democrat,1,0,0,0,0.51
Independent,0,1,0,0,0.81
Democrat,1,0,0,0,0.4
Independent,0,1,0,0,0.7
Independent,0,1,0,0,0.82
Democrat,1,0,0,0,0.39
Independent,0,1,0,0,0
Independent,0,1,0,0,1
Republican,0,0,0,1,1
Republican,0,0,0,1,1
Democrat,1,0,0,0,0.21
Democrat,1,0,0,0,0.3
Republican,0,0,0,1,0.35
NoPreference,0,0,1,0,0.78
Republican,0,0,0,1,0.91
Democrat,1,0,0,0,0
Democrat,1,0,0,0,0.08
Independent,0,1,0,0,0.58
Republican,0,0,0,1,0.9
Republican,0,0,0,1,0.51
Democrat,1,0,0,0,0
Democrat,1,0,0,0,0.44
Independent,0,1,0,0,0.27
Democrat,1,0,0,0,0
Independent,0,1,0,0,0.67
Democrat,1,0,0,0,0.34
NoPreference,0,0,1,0,0.68
Democrat,1,0,0,0,0
Democrat,1,0,0,0,0.55
NoPreference,0,0,1,0,0.46
Independent,0,1,0,0,0.4
Republican,0,0,0,1,0.88
Democrat,1,0,0,0,0.01
Independent,0,1,0,0,0.61
NoPreference,0,0,1,0,0
NoPreference,0,0,1,0,0.81
NoPreference,0,0,1,0,0
Independent,0,1,0,0,0.82
Democrat,1,0,0,0,0.5
Independent,0,1,0,0,0.75
Republican,0,0,0,1,0.22
Democrat,1,0,0,0,0.29
Democrat,1,0,0,0,1
Republican,0,0,0,1,1
Independent,0,1,0,0,1
Democrat,1,0,0,0,0.5
Republican,0,0,0,1,0.85
NoPreference,0,0,1,0,0.51
Democrat,1,0,0,0,0.66
Democrat,1,0,0,0,0.51
Independent,0,1,0,0,0.46
Republican,0,0,0,1,0.77
Republican,0,0,0,1,0.55
NoPreference,0,0,1,0,0
Democrat,1,0,0,0,0.45
Independent,0,1,0,0,0.78
Independent,0,1,0,0,0.6
Democrat,1,0,0,0,0.77
NoPreference,0,0,1,0,0.86
NoPreference,0,0,1,0,0.51
Democrat,1,0,0,0,0.2
Republican,0,0,0,1,1
Republican,0,0,0,1,0.96
NoPreference,0,0,1,0,0.66
Republican,0,0,0,1,0.59
NoPreference,0,0,1,0,0.17
NoPreference,0,0,1,0,0.39
Democrat,1,0,0,0,0.96
Democrat,1,0,0,0,0.8
Independent,0,1,0,0,0.34
Independent,0,1,0,0,0.89
NoPreference,0,0,1,0,1
Democrat,1,0,0,0,0.02
Republican,0,0,0,1,1
NoPreference,0,0,1,0,0.23
Independent,0,1,0,0,0.76
Democrat,1,0,0,0,0.91
Democrat,1,0,0,0,0.06
Independent,0,1,0,0,0.13
Independent,0,1,0,0,0.87
Republican,0,0,0,1,0.8
Republican,0,0,0,1,0.9
NoPreference,0,0,1,0,0.5
Independent,0,1,0,0,0
Independent,0,1,0,0,0.02
Independent,0,1,0,0,1
Independent,0,1,0,0,0.14
Independent,0,1,0,0,0.8
Democrat,1,0,0,0,0.4
Independent,0,1,0,0,0.33
NoPreference,0,0,1,0,0
Independent,0,1,0,0,0.2
Independent,0,1,0,0,0.51
Independent,0,1,0,0,1
NoPreference,0,0,1,0,0.6
Independent,0,1,0,0,0.62
Republican,0,0,0,1,0.19
Democrat,1,0,0,0,0.25
Independent,0,1,0,0,0.73
Democrat,1,0,0,0,0
Independent,0,1,0,0,0.18
Independent,0,1,0,0,0.21
Republican,0,0,0,1,0.76
Democrat,1,0,0,0,0
Republican,0,0,0,1,0.86
Democrat,1,0,0,0,0.41
Republican,0,0,0,1,0.78
Independent,0,1,0,0,0.95
NoPreference,0,0,1,0,0.51
Democrat,1,0,0,0,0.78
Democrat,1,0,0,0,0.01
Republican,0,0,0,1,0.77
Independent,0,1,0,0,0.38
Republican,0,0,0,1,0.55
NoPreference,0,0,1,0,0.64
NoPreference,0,0,1,0,0.51
Republican,0,0,0,1,1
Democrat,1,0,0,0,0.51
Independent,0,1,0,0,0.81
Independent,0,1,0,0,0.81
Republican,0,0,0,1,0.3
Independent,0,1,0,0,0.6
Independent,0,1,0,0,0.88
Republican,0,0,0,1,0.75
Democrat,1,0,0,0,0.62
Independent,0,1,0,0,0.83
Democrat,1,0,0,0,0.77
Republican,0,0,0,1,0.75
NoPreference,0,0,1,0,0.79
Republican,0,0,0,1,0.95
Independent,0,1,0,0,0.7
Democrat,1,0,0,0,0.47
Democrat,1,0,0,0,0.53
Democrat,1,0,0,0,0.15
Republican,0,0,0,1,0.4
Democrat,1,0,0,0,0.93
Republican,0,0,0,1,1
Democrat,1,0,0,0,0
Independent,0,1,0,0,0.89
Independent,0,1,0,0,1
Independent,0,1,0,0,0.81
Democrat,1,0,0,0,0.18
NoPreference,0,0,1,0,0.2
Democrat,1,0,0,0,0.01
Republican,0,0,0,1,1
Independent,0,1,0,0,1
Independent,0,1,0,0,1
Independent,0,1,0,0,0.16
Republican,0,0,0,1,0.51
Independent,0,1,0,0,0.5
Democrat,1,0,0,0,0
Republican,0,0,0,1,0.84
Democrat,1,0,0,0,0.85
NoPreference,0,0,1,0,0
Democrat,1,0,0,0,0.09
Independent,0,1,0,0,0.8
Republican,0,0,0,1,0.7
Independent,0,1,0,0,0.51
Democrat,1,0,0,0,0.14
Republican,0,0,0,1,0.83
Democrat,1,0,0,0,0.12
Democrat,1,0,0,0,0
Independent,0,1,0,0,0.95
Independent,0,1,0,0,0
Independent,0,1,0,0,0.7
Independent,0,1,0,0,0.32
Independent,0,1,0,0,0.33
Republican,0,0,0,1,0.19
Democrat,1,0,0,0,0.39
NoPreference,0,0,1,0,0.5
Independent,0,1,0,0,0.75
